id,type,class
0,SLEEPING,5_open@1@1
1,SLEEPING,5_open@1@1
2,BATH,5_open@1@1
3,KITCHEN,5_open@2@1
4,CORRIDOR,5_open@0@7
5,LIVING,5_open@1@2
6,SLEEPING,5_open@1@1
7,CHILDREN,5_open@1@1
8,STORAGE,5_open@1@1
9,SLEEPING,5_open@1@1
10,SLEEPING,5_open@1@1
11,BATH,5_open@1@1
12,KITCHEN,5_open@2@1
13,CORRIDOR,5_open@0@7
14,LIVING,5_open@1@3
15,SLEEPING,5_open@1@1
16,CHILDREN,5_open@1@1
17,STORAGE,5_open@1@1
18,EXTERIOR,5_open@2@1
19,KITCHEN,5_open@2@2
20,STORAGE,5_open@3@1
21,SLEEPING,5_open@1@2
22,BATH,5_open@2@1
23,BATH,5_open@1@1
24,LIVING,5_open@1@3
25,CORRIDOR,5_open@0@6
26,SLEEPING,5_open@1@1
27,SLEEPING,5_open@1@1
28,CHILDREN,5_open@1@1
29,EXTERIOR,5_open@2@1
30,KITCHEN,5_open@2@1
31,LIVING,5_open@1@2
32,BATH,5_open@1@1
33,SLEEPING,5_open@1@1
34,SLEEPING,5_open@1@1
35,CORRIDOR,5_open@0@7
36,SLEEPING,5_open@1@1
37,CHILDREN,5_open@1@1
38,STORAGE,5_open@1@1
39,SLEEPING,5_open@1@1
40,BATH,5_open@1@1
41,SLEEPING,5_open@1@1
42,KITCHEN,5_open@2@1
43,LIVING,5_open@1@2
44,CORRIDOR,5_open@0@6
45,SLEEPING,5_open@1@1
46,CHILDREN,5_open@1@1
47,CORRIDOR,5_open@0@8
48,SLEEPING,5_open@1@2
49,WORKING,5_open@1@1
50,BATH,5_open@1@2
51,LIVING,5_open@1@2
52,KITCHEN,5_open@1@2
53,SLEEPING,5_open@1@1
54,CHILDREN,5_open@1@1
55,STORAGE,5_open@1@1
56,SLEEPING,5_open@1@1
57,BATH,5_open@1@1
58,SLEEPING,5_open@1@1
59,KITCHEN,5_open@2@1
60,LIVING,5_open@1@3
61,CORRIDOR,5_open@0@6
62,SLEEPING,5_open@1@1
63,CHILDREN,5_open@1@1
64,EXTERIOR,5_open@2@1
65,WORKING,5_open@1@2
66,CORRIDOR,5_open@0@6
67,EXTERIOR,5_open@1@1
68,LIVING,5_open@1@4
69,EXTERIOR,5_open@2@1
70,KITCHEN,5_open@2@1
71,BATH,5_open@2@1
72,CORRIDOR,5_open@1@2
73,CHILDREN,5_open@2@1
74,SLEEPING,5_open@2@1
75,CHILDREN,5_open@1@1
76,STORAGE,5_open@1@1
77,SLEEPING,5_open@1@1
78,BATH,5_open@1@1
79,SLEEPING,5_open@1@1
80,CORRIDOR,5_open@0@6
81,KITCHEN,5_open@2@1
82,LIVING,5_open@1@3
83,SLEEPING,5_open@1@1
84,CHILDREN,5_open@1@1
85,EXTERIOR,5_open@2@1
86,SLEEPING,5_open@1@1
87,BATH,5_open@1@1
88,KITCHEN,5_open@2@1
89,SLEEPING,5_open@1@1
90,LIVING,5_open@1@2
91,CORRIDOR,5_open@0@7
92,SLEEPING,5_open@1@1
93,CHILDREN,5_open@1@1
94,STORAGE,5_open@1@1
95,SLEEPING,5_open@1@1
96,BATH,5_open@1@1
97,SLEEPING,5_open@1@1
98,CORRIDOR,5_open@0@7
99,KITCHEN,5_open@2@1
100,LIVING,5_open@1@3
101,SLEEPING,5_open@1@1
102,CHILDREN,5_open@1@1
103,STORAGE,5_open@1@1
104,EXTERIOR,5_open@2@1
105,SLEEPING,5_open@1@1
106,BATH,5_open@1@1
107,BATH,5_open@2@1
108,SLEEPING,5_open@1@2
109,CORRIDOR,5_open@0@8
110,STORAGE,5_open@1@1
111,KITCHEN,5_open@1@2
112,LIVING,5_open@1@2
113,SLEEPING,5_open@1@1
